project,unit,type,parent,countries,status,start_year,capacity,geom,route,url
Ashkelon-Ashdod Oil Pipeline,,oil_pipelines,Europe Asia Pipeline Company Ltd [100.00%],Israel,operating,,,line,"31.60809,34.52812:31.68698,34.75977:31.91448,34.75977",https://www.gem.wiki/Ashkelon-Ashdod_Oil_Pipeline
Ashkelon-Haifa Oil Pipeline,,oil_pipelines,Europe Asia Pipeline Company Ltd [100.00%],"Israel, Palestine",operating,,,line,"31.59056,34.53391:31.66726,34.77715:31.89591,34.77586:31.93632,34.85436:32.15885,34.99593:32.28406,34.91099:32.71822,34.99786:32.72038,35.07894:32.85886,35.14843",https://www.gem.wiki/Ashkelon-Haifa_Oil_Pipeline
Athabasca Oil Pipeline,,oil_pipelines,Enbridge [88.43%]; 23 Indigenous communities [11.57%],Canada,operating,1999,570000,line,"53.572938,-113.34182:53.904338,-112.91198:54.589074,-112.80916:55.9492,-111.15966:56.944974,-111.18164",https://www.gem.wiki/Athabasca_Oil_Pipeline
Athabasca Oil Pipeline Twin,,oil_pipelines,Enbridge [88.43%]; 23 Indigenous communities [11.57%],Canada,operating,2017,800000,line,"53.572938,-113.34182:53.904338,-112.91198:54.589074,-112.80916:55.9492,-111.15966:56.944974,-111.18164",https://www.gem.wiki/Athabasca_Oil_Pipeline_Twin
Auger Oil Pipeline,,oil_pipelines,Shell Midstream Partners LP [100.00%],United States,operating,1994,200000,line,"27.95574,-91.9038:27.96153,-91.8998:27.96857,-91.8948:27.97365,-91.8913:27.97677,-91.889:27.98355,-91.8835:27.9844,-91.8828:27.99259,-91.877:27.9946,-91.8756:27.9998,-91.872:28.00531,-91.8673:28.00834,-91.8651:28.01577,-91.8608:28.01828,-91.8591:28.02389,-91.8551:28.02941,-91.8514:28.03257,-91.8492:28.03984,-91.8441:28.04207,-91.8426:28.04809,-91.8384:28.05311,-91.8349:28.05577,-91.8331:28.06383,-91.8275:28.07388,-91.8204:28.07546,-91.8194:28.08099,-91.8154:28.08627,-91.8118:28.08833,-91.8103:28.09584,-91.8051:28.09842,-91.8033:28.10408,-91.7993:28.1091,-91.7958:28.11264,-91.7933:28.11976,-91.7883:28.12229,-91.7865:28.12856,-91.7821:28.13362,-91.7786:28.13611,-91.7768:28.14409,-91.7712:28.15358,-91.7646:28.15529,-91.7634:28.16264,-91.7583:28.16763,-91.7547:28.16971,-91.7532:28.17604,-91.7488:28.17856,-91.7471:28.18555,-91.7422:28.19002,-91.7391:28.19287,-91.7372:28.19991,-91.7322:28.20133,-91.7313:28.20928,-91.7257:28.214,-91.7224:28.21645,-91.7207:28.22456,-91.715:28.23205,-91.7106:28.23389,-91.7098:28.23402,-91.7098;27.87575,-91.9859:27.8762,-91.9848:27.87789,-91.9805:27.88031,-91.975:27.88106,-91.9737:27.88803,-91.9663:27.88976,-91.965:27.89644,-91.9596:27.89868,-91.9577:27.90424,-91.9532:27.90846,-91.9492:27.91257,-91.9451:27.91665,-91.941:27.92073,-91.9369:27.92381,-91.9338:27.92791,-91.9297:27.93199,-91.9255:27.93605,-91.9214:27.94015,-91.9173:27.94424,-91.9132:27.94843,-91.9092:27.95182,-91.9066:27.95527,-91.904:27.95559,-91.9038;27.54612,-92.4433:27.54615,-92.4433:27.55055,-92.4398:27.5513,-92.4392:27.55874,-92.4338:27.56438,-92.431:27.56688,-92.4299:27.5745,-92.4248:27.57648,-92.4229:27.58242,-92.4168:27.58442,-92.4148:27.59096,-92.4081:27.59226,-92.4068:27.59879,-92.4001:27.60011,-92.3988:27.60656,-92.3921:27.60786,-92.3908:27.61437,-92.3841:27.61569,-92.3828:27.62227,-92.3761:27.62356,-92.3747:27.6314,-92.3666:27.63921,-92.3586:27.64704,-92.3505:27.65486,-92.3424:27.66225,-92.3348:27.67119,-92.3281:27.67316,-92.3271:27.67905,-92.3239:27.68681,-92.3198:27.68876,-92.3187:27.6946,-92.3155:27.70241,-92.3113:27.70436,-92.3103:27.71015,-92.3072:27.71793,-92.3029:27.71987,-92.3019:27.72771,-92.2976:27.73242,-92.2946:27.73492,-92.2923:27.73915,-92.2868:27.7424,-92.2791:27.74364,-92.2707:27.74429,-92.2609:27.7447,-92.2536:27.74511,-92.2463:27.74552,-92.2391:27.74609,-92.2294:27.74653,-92.2221:27.74694,-92.2149:27.74749,-92.2052:27.74783,-92.1979:27.74821,-92.1906:27.74872,-92.1809:27.74914,-92.1736:27.74978,-92.1663:27.7503,-92.164:27.75206,-92.1582:27.75317,-92.1499:27.75364,-92.1427:27.75424,-92.1329:27.75461,-92.1256:27.75374,-92.1184:27.75296,-92.111:27.75341,-92.1013:27.75435,-92.0953:27.75798,-92.0866:27.75861,-92.0856:27.76477,-92.0789:27.76649,-92.0774:27.77504,-92.0699:27.78399,-92.0631:27.79165,-92.0587:27.79927,-92.0542:27.80644,-92.0489:27.80796,-92.0471:27.81518,-92.0381:27.82106,-92.031:27.82249,-92.0293:27.82825,-92.0221:27.83064,-92.0197:27.83565,-92.0151:27.8386,-92.0116:27.84158,-92.0066:27.84662,-91.9974:27.85071,-91.9897:27.85426,-91.9852:27.85798,-91.983:27.86217,-91.9821:27.86838,-91.9835:27.87035,-91.9844:27.87497,-91.9864:27.8751,-91.9864;28.23402,-91.7098:28.23405,-91.7098:28.23948,-91.7072:28.24634,-91.7018:28.24978,-91.6991:28.25458,-91.6952:28.25982,-91.6902:28.26248,-91.6875:28.26741,-91.6827:28.27006,-91.68:28.27523,-91.675:28.2787,-91.6716:28.28388,-91.6664:28.28643,-91.6638:28.29161,-91.6588:28.29414,-91.6562:28.29923,-91.6511:28.30269,-91.6478:28.30785,-91.6427:28.3104,-91.6401:28.31557,-91.6349:28.31882,-91.6317:28.32398,-91.6267:28.32661,-91.624:28.33178,-91.619:28.3343,-91.6164:28.34003,-91.6108:28.34202,-91.6088:28.34798,-91.6028:28.35056,-91.6003:28.35572,-91.5951:28.35833,-91.5926:28.36423,-91.5866:28.36746,-91.583:28.37066,-91.5792:28.37417,-91.5751:28.37769,-91.5709:28.38282,-91.5649:28.3844,-91.563:28.39087,-91.5553:28.3915,-91.5546:28.39787,-91.5471:28.39852,-91.5464:28.40495,-91.5388:28.40653,-91.5369:28.41203,-91.5304:28.41442,-91.5276:28.41834,-91.5229:28.4223,-91.5182:28.4255,-91.5144:28.43026,-91.5088:28.43184,-91.507:28.43844,-91.4998:28.43957,-91.4989:28.44654,-91.4949:28.45377,-91.4911:28.4548,-91.4905:28.46307,-91.4861:28.46934,-91.4829:28.47037,-91.4824:28.4787,-91.4779:28.48398,-91.4751:28.48693,-91.4735:28.49425,-91.4696:28.49944,-91.4669:28.50256,-91.4653:28.51186,-91.4603:28.51393,-91.4592:28.51811,-91.457:28.52633,-91.4527:28.52943,-91.451:28.5351,-91.448:28.54291,-91.4439:28.54499,-91.4427:28.55028,-91.4399:28.55854,-91.4356:28.55955,-91.435:28.56671,-91.4312:28.5751,-91.4268:28.58229,-91.4229:28.58953,-91.4191:28.59055,-91.4186:28.59865,-91.4143:28.60495,-91.4109:28.60702,-91.4099:28.61425,-91.4059:28.6196,-91.4031:28.62269,-91.4015:28.63083,-91.3972:28.63496,-91.3949:28.63822,-91.3933:28.64628,-91.389:28.65064,-91.3866:28.65467,-91.3845:28.66304,-91.38:28.66509,-91.3789:28.67124,-91.3756:28.67855,-91.3718:28.68051,-91.3707:28.68674,-91.3674:28.69502,-91.363:28.70231,-91.3591:28.71061,-91.3548:28.71888,-91.3504:28.7251,-91.3469:28.72619,-91.3464:28.73444,-91.3421:28.74064,-91.3388:28.74271,-91.3377:28.75096,-91.3332:28.75511,-91.3311:28.75821,-91.3294:28.76648,-91.3251:28.77409,-91.3234:28.7823,-91.3233:28.79031,-91.3232:28.79856,-91.3206:28.80625,-91.3165:28.80935,-91.3149:28.81452,-91.3121:28.82278,-91.3077:28.82382,-91.3072:28.8311,-91.3033:28.8383,-91.2994:28.83935,-91.2989:28.8466,-91.2951:28.85381,-91.2909:28.85437,-91.2905:28.86248,-91.2847:28.86624,-91.2828:28.87017,-91.2812:28.87835,-91.278:28.88456,-91.2748:28.88661,-91.2737:28.89483,-91.2693:28.899,-91.2671:28.90208,-91.2654:28.91021,-91.261:28.91451,-91.2587:28.91868,-91.2565:28.92693,-91.2521:28.92898,-91.251:28.93415,-91.2482:28.94244,-91.2438:28.94451,-91.2427:28.95072,-91.2394:28.95894,-91.235:28.96617,-91.2311:28.9744,-91.2267:28.98226,-91.2225:28.98846,-91.2192:28.99004,-91.2183:28.99816,-91.214:29.00342,-91.2112:29.00642,-91.2096:29.01471,-91.2051:29.01881,-91.2029:29.02308,-91.2007:29.03015,-91.1969:29.03347,-91.1951:29.03839,-91.1924:29.04663,-91.188:29.0483,-91.1871:29.05409,-91.184:29.06241,-91.1796:29.06404,-91.1787:29.07067,-91.1751:29.0781,-91.1711:29.08633,-91.1667:29.09457,-91.1623:29.10237,-91.1582:29.11054,-91.16:29.11095,-91.1602:29.11131,-91.1605",https://www.gem.wiki/Auger_Oil_Pipeline
Augustus Oil Pipeline,,oil_pipelines,Lotus Midstream LLC [100.00%],United States,operating,2020,150000,line,"31.996866502170217,-102.09331410823694:31.397825262435514,-102.35117411971241",https://www.gem.wiki/Augustus_Oil_Pipeline
Avalon Oil Pipeline,,oil_pipelines,Plains GP Holdings LP [100.00%],United States,operating,,,line,"31.900587606882816,-103.96525994219753:31.995557571619884,-103.78055231328491:31.995557571619884,-103.40701718269594",https://www.gem.wiki/Avalon_Oil_Pipeline
Avalon Oil Pipeline,Avalon Extension,oil_pipelines,Plains GP Holdings LP [100.00%],United States,operating,2015,100000,line,"31.88823492443971,-103.82834176601084:31.6956385366503,-103.47952587200493",https://www.gem.wiki/Avalon_Oil_Pipeline
Ayacucho-Coveñas Oil Pipeline,,oil_pipelines,Ecopetrol [100.00%],Colombia,operating,,67000,line,"9.410435,-75.6921142:9.351791,-75.6272:9.328172,-75.520918:9.297984,-75.450063:9.29865,-75.408731:9.280936,-75.358542:9.277318,-75.308353:9.289127,-75.24045:9.304554,-75.151882:9.331125,-75.075123:9.360648,-75.00722:9.387218,-74.951127:9.393123,-74.939317:9.399027,-74.86551:9.413789,-74.812369:9.413789,-74.797608:9.425598,-74.76218:9.407884,-74.732658:9.419693,-74.682469:9.384266,-74.558473:9.348838,-74.399049:9.301602,-74.210103:9.263222,-74.053632:9.248461,-73.926684:9.215986,-73.773165:9.148083,-73.722976:9.021135,-73.684596:8.967994,-73.690501:8.849902,-73.672787:8.784952,-73.669835:8.767238,-73.655074:8.681622,-73.649169:8.637338,-73.640312:8.601439,-73.60801",https://www.gem.wiki/Ayacucho-Cove%C3%B1as_Oil_Pipeline
"Ayacucho-Galán 8"" Oil Pipeline",,oil_pipelines,Ecopetrol [100.00%],Colombia,operating,,20000,line,"7.074531,-73.885731:7.157059,-73.807772:7.219573,-73.77452:7.264796,-73.754569:7.290067,-73.734618:7.314009,-73.715996:7.349921,-73.692055:7.371203,-73.678754:7.452338,-73.637521:7.501551,-73.61225:7.545444,-73.588308:7.586676,-73.555056:7.6452,-73.512493:7.671802,-73.495202:7.681112,-73.495202:7.715695,-73.500523:7.79417,-73.521804:7.856684,-73.539095:7.933828,-73.553726:7.991022,-73.560376:8.037575,-73.569687:8.069497,-73.575007:8.128021,-73.581658:8.174574,-73.592299:8.202506,-73.600279:8.225508,-73.604113:8.315603,-73.619448:8.399947,-73.630949:8.445952,-73.627116:8.495792,-73.615614:8.530296,-73.607947:8.601439,-73.60801",https://www.gem.wiki/Ayacucho-Gal%C3%A1n_8%22_Oil_Pipeline
Azuzuama-Tebidaba Oil Pipeline,,oil_pipelines,Eni S.p.A. [59.18%]; Nigerian National Petroleum Corporation [unknown %],Nigeria,operating,,,line,"4.69,5.96:4.556,5.919",https://www.gem.wiki/Azuzuama-Tebidaba_Oil_Pipeline
Bab-Habshan–Fujairah Oil Pipeline,,oil_pipelines,Abu Dhabi National Oil Company [100.00%],United Arab Emirates,operating,2012,1500000,line,"23.8279,53.6176:23.937,53.6909:24.0253,54.1381:24.1648,54.3781:24.1671,54.6168:24.1615,54.6572:24.1693,54.7243:24.211,54.7912:24.273,54.8052:24.2699,54.8317:24.2781,54.8386:24.41,55.0235:24.6067,55.1303:24.5746,55.1916:24.5772,55.3609:24.5939,55.3677:24.6895,55.6388:24.7037,55.7521:24.7549,55.7525:24.7546,55.7523:24.7992,55.8028:24.8901,55.7827:25.0177,55.8882:25.0655,55.9794:25.1101,56.0259:25.1993,56.0351:25.1928,56.1821:25.2171,56.2127:25.2128,56.3413",https://www.gem.wiki/Bab-Habshan%E2%80%93Fujairah_Oil_Pipeline
Bab-Habshan–Jebel Dhanna Oil Pipeline,,oil_pipelines,Abu Dhabi National Oil Company [100.00%],United Arab Emirates,operating,,,line,"23.8279,53.6176:23.8288,53.4618:23.8488,53.293:24.0113,53.0224:24.1271,52.6708:24.1559,52.6187:24.1699,52.6037",https://www.gem.wiki/Bab-Habshan%E2%80%93Jebel_Dhanna_oil_pipeline
Bacha Oil Pipeline,,oil_pipelines,Unknown [unknown %],China,operating,2006,,line,"39.001649327171215,116.2954379432479:38.99456451382492,116.10681288114307",https://www.gem.wiki/Bacha_Oil_Pipeline
Bachaquero-Puerto Miranda 2 Oil Pipeline,,oil_pipelines,PDVSA [100.00%],Venezuela,operating,,,line,"9.950045,-71.145304:10.761453,-71.53781",https://www.gem.wiki/Bachaquero-Puerto_Miranda_2_oil_pipeline
Bachaquero-Puerto Miranda Oil Pipeline,,oil_pipelines,PDVSA [100.00%],Venezuela,operating,,,line,"9.950045,-71.145304:10.761453,-71.53781",https://www.gem.wiki/Bachaquero-Puerto_Miranda_oil_pipeline
Badger Oil Pipeline,,oil_pipelines,"ARB Midstream, LLC [100.00%]",United States,operating,2019,90000,line,"40.20601254,-104.607307:40.19328575,-104.615266:40.18588788,-104.61941:40.17883222,-104.618558:40.17673629,-104.628377:40.1755771,-104.652156:40.17479764,-104.67724:40.174776,-104.711859:40.17394131,-104.737567:40.17196635,-104.745509:40.16520829,-104.747199:40.16011434,-104.752239:40.15813847,-104.760179:40.15851363,-104.768407:40.1565803,-104.775722:40.1549516,-104.778669:40.15336641,-104.780992:40.1515632,-104.786434:40.14867829,-104.800553:40.14719153,-104.821767:40.1465783,-104.830501:40.14600832,-104.838612:40.14262872,-104.839453:40.13963163,-104.841599:40.13388807,-104.849068:40.12302819,-104.848352:40.1176046,-104.844535:40.11285813,-104.844576:40.11139068,-104.851943:40.11099519,-104.857555:40.11118797,-104.868273:40.10600125,-104.874548:40.10226901,-104.880374:40.09329044,-104.879887:40.0838711,-104.885634:40.06822124,-104.885575:40.06175546,-104.889801:40.06088456,-104.915465:40.05522541,-104.921674:40.03472388,-104.9298",https://www.gem.wiki/Badger_Oil_Pipeline
Badr El Din-El Hamra Oil Pipeline,,oil_pipelines,WEPCO [100.00%],Egypt,operating,1982,60000,line,"29.989395,27.500555:30.933872,28.835047",https://www.gem.wiki/Badr_El_Din-El_Hamra_Oil_Pipeline
Badra-PS-2 Oil Pipeline,"Pipeline 1 ""Badra-AlGharaf  Oil Pipeline""",oil_pipelines,China National Petroleum Corporation [unknown %]; Iraq Ministry of Oil [unknown %],Iraq,operating,,204000,line,"32.9872,45.8429:31.298463,46.244287",https://www.gem.wiki/Badra-PS-2_Oil_Pipeline
Badra-PS-2 Oil Pipeline,"Pipeline 2 ""AlGharaf - PS-2 Oil Pipeline""",oil_pipelines,Iraq Ministry of Oil [100.00%],Iraq,operating,,,line,"31.298463,46.244287:31.0502,45.726",https://www.gem.wiki/Badra-PS-2_Oil_Pipeline
Bahi Gathering-Sidra Oil Pipelines,Pipeline 1,oil_pipelines,Libyan National Oil Corporation [100.00%]; ConocoPhillips [16.33%]; TotalEnergies SE [16.33%]; Hess Corporation [8.16%],Libya,operating,,,line,"30.0913,17.8747:30.1145,17.8771:30.1793,17.9284:30.2391,17.9997:30.2497,18.0205:30.2931,18.0808:30.6074,18.2866:30.628,18.332:30.6358,18.3594:30.6352,18.3644",https://www.gem.wiki/Bahi_Gathering-Sidra_Oil_Pipelines
Bahi Gathering-Sidra Oil Pipelines,Pipeline 2,oil_pipelines,Libyan National Oil Corporation [59.18%]; ConocoPhillips [16.33%]; TotalEnergies SE [16.33%]; Hess Corporation [8.16%],Libya,operating,,,line,"30.0913,17.8747:30.1145,17.8771:30.1793,17.9284:30.2391,17.9997:30.2497,18.0205:30.2931,18.0808:30.6074,18.2866:30.628,18.332:30.6358,18.3594:30.6352,18.3644",https://www.gem.wiki/Bahi_Gathering-Sidra_Oil_Pipelines
Bahrian Saudi Arabia Oil Pipeline,,oil_pipelines,Bahrain Petroleum Company (Bapco) [100.00%],"Saudi Arabia, Bahrain",operating,2018,350000,line,"25.931734,49.687097:26.120019,50.60086",https://www.gem.wiki/Bahrain_Saudi_Arabia_Oil_Pipeline
Bakken Expansion Pipeline,,oil_pipelines,Enbridge [100.00%],"United States, Canada",operating,2013,145000,line,"48.3119712,-101.73614:48.99824,-102.26074:49.000042,-102.55187:49.4770478,-102.55737:49.4431287,-102.36785:49.7369065,-101.23695",https://www.gem.wiki/Bakken_Expansion_Pipeline
Bakken Express Oil Pipeline,,oil_pipelines,OneOK Inc. [100.00%],United States,cancelled,,200000,line,"48.601682,-102.74851:47.654537,-104.36157:40.884732,-104.18579:37.680582,-97.332505:36.590198,-97.321519:35.987895,-96.757342",https://www.gem.wiki/Bakken_Express_Oil_Pipeline
Bakken-to-Cushing Oil Pipeline,,oil_pipelines,Enterprise Products Partners [100.00%],United States,cancelled,,340000,line,"48.370858,-102.39147:47.654537,-104.36157:40.884732,-104.18579:37.680582,-97.332505:36.590198,-97.321519:35.987895,-96.757342",https://www.gem.wiki/Bakken-to-Cushing_Oil_Pipeline
BakkenLink Oil Pipeline,,oil_pipelines,Marathon Petroleum [100.00%],United States,operating,2013,85000,line,"48.282556,-102.950295:48.140979,-102.900326:48.006539,-102.914603:47.84426,-102.912224:47.829507,-102.891284:47.813327,-102.898423",https://www.gem.wiki/BakkenLink_Oil_Pipeline
Baku Supsa Oil Pipeline,,oil_pipelines,BP [30.40%]; SOCAR [25.00%]; MOL [9.60%]; INPEX Corporation [9.30%]; Equinor [7.30%]; ExxonMobil [6.80%]; TPAO [5.70%]; ITOCHU Corporation [3.70%]; Oil and Natural Gas Corporation Limited [2.30%],"Azerbaijan, Georgia",idle,1999,115000,line,"40.16285,49.20759:40.10381,49.13552:40.07034,48.96049:40.08609,48.87813:40.17072,48.72369:40.2238,48.61559:40.26898,48.49204:40.28666,48.299:40.32592,48.17288:40.34554,48.12397:40.36711,48.07507:40.37888,47.9927:40.422,47.93608:40.44355,47.87173:40.48859,47.69928:40.48663,47.59632:40.47097,47.55771:40.50816,47.49594:40.51574,47.47631:40.51672,47.45315:40.53531,47.43255:40.56953,47.42998:40.57735,47.42483:40.61058,47.28713:40.62035,47.26654:40.61839,47.25367:40.59885,47.22664:40.59104,47.21763:40.59885,47.18288:40.62133,47.15328:40.63305,47.11982:40.63988,47.05548:40.62523,47.02588:40.62816,46.97569:40.64769,46.91134:40.65258,46.8856:40.65843,46.84956:40.65355,46.79937:40.64184,46.73631:40.63695,46.71829:40.63695,46.69255:40.66136,46.64622:40.68381,46.64622:40.6965,46.65009:40.74039,46.62563:40.76282,46.59475:40.76574,46.58445:40.80082,46.57158:40.82128,46.53683:40.83296,46.48149:40.8427,46.4416:40.84367,46.39656:40.84854,46.37082:40.86217,46.34636:40.86411,46.31033:40.85243,46.28588:40.83394,46.25113:40.8427,46.21252:40.8573,46.1945:40.88163,46.08769:40.88163,46.07482:40.89233,46.05036:40.89914,46.02463:40.95165,45.91137:40.96137,45.88306:40.97789,45.85861:41.00412,45.78396:41.03131,45.7312:41.0381,45.71447:41.07013,45.68616:41.08177,45.64626:41.07886,45.60379:41.11668,45.54073:41.16417,45.49569:41.22615,45.45064:41.23099,45.43134:41.25422,45.43005:41.2871,45.376:41.30161,45.32581:41.30741,45.29878:41.32191,45.26661:41.33157,45.26532:41.36539,45.20355:41.45419,45.11603:41.46576,45.11089:41.49468,45.08772:41.59101,45.07743:41.61122,45.0401:41.64681,45.04139:41.6795,45.02723:41.69103,45.01437:41.7189,45.0105:41.7381,44.99377:41.75635,44.98863:41.7813,44.93715:41.78418,44.91913:41.80337,44.88052:41.81488,44.85607:41.82352,44.82776:41.83886,44.79944:41.83886,44.78786:41.84749,44.74925:41.87241,44.70807:41.88103,44.68104:41.89924,44.67847:41.91264,44.66431:41.92605,44.65788:41.9385,44.636:41.96243,44.55235:41.96817,44.50859:41.99352,44.47449:41.99352,44.42623:42.005,44.38697:42.01982,44.33228:42.03177,44.28144:42.03607,44.23833:42.04228,44.22353:42.03798,44.192:42.03798,44.12315:42.03225,44.1032:42.03989,44.05751:42.04037,44.03757:42.04945,43.97644:42.05853,43.93847:42.06522,43.89858:42.09578,43.88313:42.09817,43.8664:42.08671,43.83423:42.08289,43.8175:42.0805,43.79305:42.06713,43.7776:42.07286,43.75444:42.06044,43.70167:42.06522,43.69138:42.06522,43.67979:42.07764,43.64762:42.09674,43.65148:42.11392,43.6399:42.13683,43.64247:42.15878,43.6103:42.1769,43.55625:42.2198,43.49833:42.22076,43.47388:42.20741,43.44557:42.18834,43.36063:42.20265,43.32974:42.2198,43.28856:42.22171,43.24866:42.20837,43.21134:42.14542,43.1071:42.15687,43.07235:42.17213,43.04275:42.16402,42.99803:42.15902,42.98387:42.17118,42.95363:42.15329,42.91116:42.16712,42.86805:42.17237,42.78246:42.17571,42.75608:42.14852,42.72005:42.14852,42.70139:42.13612,42.69109:42.13516,42.66857:42.11034,42.61709:42.10652,42.54116:42.09984,42.53086:42.12848,42.44335:42.12514,42.29471:42.11178,42.25481:42.1428,42.157:42.13325,42.10939:42.1428,42.06499:42.11082,41.88288:42.0774,41.78765:42.06354,41.778:42.05351,41.76255:42.05256,41.74389",https://www.gem.wiki/Baku_Supsa_Oil_Pipeline
Baku-Novorossiysk Oil Pipeline,,oil_pipelines,SOCAR [100.00%]; Transneft [unknown %],"Azerbaijan, Russia",operating,1983,,line,"40.44692,49.7006:40.58584,49.39945:40.98342,49.02109:41.06691,48.9799:41.22585,48.76884:41.49245,48.635:41.74261,48.27465:41.95064,48.24634:42.05106,48.06488:42.11792,48.00053:42.30856,47.85124:42.49767,47.8062:42.57732,47.63375:42.81946,47.45744:42.83739,47.40596:43.00232,47.34676:43.16868,47.01215:43.16774,46.78307:43.52525,46.77406:43.60172,46.78564:43.67716,46.74575:43.8389,46.73288:43.92053,46.64537:43.95204,46.52182:44.02426,46.35194:44.13336,46.19493:44.13336,46.11514:44.16475,45.98645:44.19613,45.79083:44.18875,45.68015:44.24594,45.46909:44.2215,45.17888:44.0312,44.79859:43.97242,44.7973:43.78968,44.60812:43.8992,44.26321:43.91589,44.0972:43.99001,43.90801:44.03166,43.7613:44.08253,43.52965:44.14352,43.37007:44.1989,43.23236:44.19982,43.17574:44.43371,42.71629:44.45208,42.61848:44.56772,42.30189:44.63553,42.03421:44.70326,41.88749:44.70509,41.8077:44.79648,41.48596:44.791,41.43963:44.90597,41.14621:45.03071,41.07285:45.11705,40.9789:45.44214,40.58252:45.49449,40.54263:45.52786,40.48471:45.74293,40.25435:45.84253,40.19386:45.85015,40.18743:45.84455,40.17793:45.73956,40.13547:45.62627,39.93084:45.61007,39.90381:45.59927,39.87293:45.55873,39.78799:45.49923,39.71849:45.46675,39.63741:45.43695,39.45595:45.40443,39.39804:45.36105,39.35557:45.32848,39.28994:45.24971,39.05828:45.25515,38.88841:45.14088,38.75714:45.03185,38.54865:45.02912,38.51776:45.00182,38.5139:44.99363,38.49074:44.97998,38.47143:44.94173,38.47143:44.83506,38.15098:44.88158,37.97338:44.70897,37.93091:44.70349,37.84597",https://www.gem.wiki/Baku-Novorossiysk_Oil_Pipeline
